CourseTitle|CourseCode|Subterm|CreditHours|Instructor|CourseDays|TimeSlot|BuildingCode|Room|Comments
Making the World Go Round: Children in Machinery of Empire|ANTH-2072-L1|Fall|5|Mary Porter|W|11:05 AM-12:30 PM|SC|103|Open
Making the World Go Round: Children in Machinery of Empire|ANTH-2072-L1|Fall|5|Mary Porter|W|3:35 PM-5:00 PM|MORL|CL|Group conference, meets weekly
Making the World Go Round: Children in Machinery of Empire|ANTH-2072-L1|Fall|5|Mary Porter|R|2:00 PM-3:25 PM|ANDH|104|Group conference, meets weekly
Making the World Go Round: Children in Machinery of Empire|ANTH-2072-L1|Fall|5|Mary Porter|F|9:30 AM-10:55 AM|ANDH|104|Group conference, meets weekly
Indigenous Ecologies/Environmental Justice|ANTH-3116-R-1|Spring|5|Deanna Barenboim|TF|11:05 AM-12:30 PM|TITS|LR|Open
Faking Families: How We Make Kinship|ANTH-3147-R-1|Year|10|Mary Porter|TF|11:05 AM-12:30 PM|ANDH|104|Open
Culture and Mental Health|ANTH-3151-R-1|Fall|5|Deanna Barenboim|TF|11:05 AM-12:30 PM|TITS|LR|Open
Black England: From Tudors to Two-Tone|ANTH-3210-R-1|Spring|5|Mary Porter|MR|2:00 PM-3:25 PM|ANDH|103|Sophomores and above
Immigration and Identity|ANTH-3237-R-1|Spring|5|Deanna Barenboim|W|11:05 AM-1:00 PM|TITS|LR|Intermediate
Anthropology and Images|ANTH-3317-R-1|Fall|5|Robert Desjarlais|TF|11:05 AM-12:30 PM|HEIM|208|Open
Ethnographic Writing|ANTH-3406-R-1|Fall|5|Robert Desjarlais|W|11:05 AM-1:00 PM|ANDH|104|Sophomores and above
Migration and Climate Crisis|ANTH-3606-R-1|Fall|5|Deanna Barenboim|W|11:05 AM-1:00 PM|TITS|LR|Intermediate
Romanesque and Gothic: Castle & Cathedral at the Birth of Europe|ARTH-2022-L-1|Spring|5|Jerrilynn Dodds|T|3:35 PM-4:30 PM|HEIM|111|Group conference
Romanesque and Gothic: Castle & Cathedral at the Birth of Europe|ARTH-2022-L-1|Spring|5|Jerrilynn Dodds|T|10:00 AM-10:55 AM|HEIM|210|Group conference
Romanesque and Gothic: Castle & Cathedral at the Birth of Europe|ARTH-2022-L-1|Spring|5|Jerrilynn Dodds|MR|2:00 PM-3:25 PM|HEIM|202|Open
The Paths of the World: Italian Renaissance Art & Beg Globalizatn|ARTH-2027-L-1|Fall|5|Alessandra Di Croce|MW|3:35 PM-5:00 PM|HEIM|202|Open
The Paths of the World: Italian Renaissance Art & Beg Globalizatn|ARTH-2027-L-1|Fall|5|Alessandra Di Croce|M|11:05 AM-12:00 PM|SLON|2|Group conference
The Paths of the World: Italian Renaissance Art & Beg Globalizatn|ARTH-2027-L-1|Fall|5|Alessandra Di Croce|W|11:05 AM-12:00 PM|HEIM|211|Group conference
Theatrum Mundi:Baroque Art and the Wonders of the World|ARTH-2028-L-1|Spring|5|Alessandra Di Croce|W|11:05 AM-12:00 PM|HEIM|210|Group conference
Theatrum Mundi:Baroque Art and the Wonders of the World|ARTH-2028-L-1|Spring|5|Alessandra Di Croce|M|11:05 AM-12:00 PM|SLON|2|Group conference
Theatrum Mundi:Baroque Art and the Wonders of the World|ARTH-2028-L-1|Spring|5|Alessandra Di Croce|MW|3:35 PM-5:00 PM|HEIM|202|Open
Histories of Queer and Trans Art|ARTH-2053-L-1|Fall|5|Cat Dawson|R|12:45 PM-1:45 PM|HEIM|210|Group conference
Histories of Queer and Trans Art|ARTH-2053-L-1|Fall|5|Cat Dawson|T|10:00 AM-10:55 AM|HEIM|208|Group conference
Histories of Queer and Trans Art|ARTH-2053-L-1|Fall|5|Cat Dawson|TR|3:35 PM-5:00 PM|PAC|3|Open
Monuments and Memory|ARTH-2056-L-1|Spring|5|Cat Dawson|R|12:45 PM-1:45 PM|HEIM|210|Group conference
Monuments and Memory|ARTH-2056-L-1|Spring|5|Cat Dawson|T|10:00 AM-10:55 AM|HEIM|208|Group conference
